"2023-02-08 at 15:19"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2023-02-08 15:19:14 470.73 1.19 -20.44 51.46 101.91 0.0855 0.0113
2023-02-08 15:19:15 472.43 1.15 -20.86 51.46 101.92 0.0853 0.0112
2023-02-08 15:19:16 464.50 1.14 -20.97 51.46 101.91 0.0853 0.0113
2023-02-08 15:19:17 470.79 1.11 -21.20 51.46 101.91 0.0858 0.0111
2023-02-08 15:19:18 458.11 1.11 -21.22 51.46 101.91 0.0836 0.0114
2023-02-08 15:19:19 460.41 1.10 -21.33 51.46 101.91 0.0844 0.0108
2023-02-08 15:19:20 461.76 1.18 -20.48 51.46 101.92 0.0846 0.0117
2023-02-08 15:19:21 462.49 1.11 -21.27 51.45 101.91 0.0848 0.0111
2023-02-08 15:19:22 461.83 1.12 -21.15 51.42 101.92 0.0844 0.0112
2023-02-08 15:19:23 461.22 1.11 -21.23 51.42 101.91 0.0844 0.0111
2023-02-08 15:19:24 459.12 1.11 -21.19 51.45 101.94 0.0840 0.0111
2023-02-08 15:19:25 457.90 1.09 -21.46 51.46 101.92 0.0841 0.0109
2023-02-08 15:19:26 459.20 1.08 -21.51 51.46 101.92 0.0844 0.0109
2023-02-08 15:19:27 458.37 1.10 -21.33 51.45 101.91 0.0838 0.0111
2023-02-08 15:19:28 457.05 1.10 -21.34 51.42 101.91 0.0839 0.0110
2023-02-08 15:19:29 457.05 1.11 -21.22 51.41 101.91 0.0842 0.0114
2023-02-08 15:19:30 457.76 1.09 -21.46 51.41 101.92 0.0837 0.0103
2023-02-08 15:19:31 461.37 1.05 -21.92 51.41 101.92 0.0849 0.0108
2023-02-08 15:19:32 458.81 1.12 -21.09 51.41 101.92 0.0838 0.0111
2023-02-08 15:19:33 458.81 1.12 -21.09 51.41 101.92 0.0838 0.0111
2023-02-08 15:19:34 454.49 1.07 -21.61 51.41 101.93 0.0835 0.0107
2023-02-08 15:19:35 457.88 0.99 -22.56 51.41 101.91 0.0842 0.0100
2023-02-08 15:19:36 458.34 1.04 -22.03 51.41 101.93 0.0839 0.0106
2023-02-08 15:19:37 455.75 1.13 -21.03 51.41 101.90 0.0837 0.0114
2023-02-08 15:19:38 456.93 1.09 -21.44 51.38 101.92 0.0843 0.0110
2023-02-08 15:19:39 464.35 1.06 -21.76 51.38 101.92 0.0852 0.0103
2023-02-08 15:19:40 465.52 0.98 -22.64 51.38 101.93 0.0844 0.0097
2023-02-08 15:19:41 464.64 1.10 -21.37 51.38 101.92 0.0852 0.0115
2023-02-08 15:19:42 459.78 1.07 -21.60 51.41 101.92 0.0845 0.0106
2023-02-08 15:19:43 461.29 1.00 -22.47 51.38 101.91 0.0843 0.0102
2023-02-08 15:19:44 462.76 0.93 -23.28 51.38 101.92 0.0849 0.0093
2023-02-08 15:19:45 464.21 1.08 -21.55 51.38 101.92 0.0849 0.0104
2023-02-08 15:19:46 462.72 1.02 -22.23 51.38 101.92 0.0845 0.0106
