"2023-02-08 at 09:06"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2023-02-08 09:06:56 460.50 4.17 -5.05 51.37 101.26 0.0844 0.0347
2023-02-08 09:06:57 461.15 4.17 -5.03 51.36 101.25 0.0844 0.0347
2023-02-08 09:06:58 461.22 4.17 -5.05 51.33 101.24 0.0844 0.0346
2023-02-08 09:06:59 461.26 4.17 -5.04 51.33 101.25 0.0845 0.0346
2023-02-08 09:07:00 462.06 4.16 -5.08 51.33 101.26 0.0845 0.0346
2023-02-08 09:07:01 462.08 4.17 -5.03 51.36 101.26 0.0846 0.0347
2023-02-08 09:07:02 462.26 4.18 -5.01 51.36 101.27 0.0846 0.0347
2023-02-08 09:07:03 462.16 4.17 -5.03 51.38 101.26 0.0845 0.0347
2023-02-08 09:07:04 463.00 4.17 -5.05 51.38 101.24 0.0847 0.0346
2023-02-08 09:07:05 463.75 4.17 -5.04 51.36 101.24 0.0848 0.0347
2023-02-08 09:07:06 463.41 4.17 -5.04 51.33 101.25 0.0847 0.0347
2023-02-08 09:07:07 463.59 4.17 -5.04 51.34 101.26 0.0848 0.0347
2023-02-08 09:07:08 463.91 4.16 -5.06 51.34 101.27 0.0848 0.0346
2023-02-08 09:07:09 464.11 4.17 -5.05 51.36 101.27 0.0849 0.0347
2023-02-08 09:07:10 464.35 4.17 -5.04 51.37 101.26 0.0848 0.0347
2023-02-08 09:07:11 464.07 4.17 -5.05 51.37 101.27 0.0849 0.0346
2023-02-08 09:07:12 464.68 4.16 -5.07 51.36 101.25 0.0849 0.0346
2023-02-08 09:07:13 465.11 4.17 -5.03 51.36 101.25 0.0850 0.0347
2023-02-08 09:07:14 465.26 4.18 -5.02 51.36 101.26 0.0850 0.0347
2023-02-08 09:07:15 465.45 4.17 -5.03 51.36 101.25 0.0850 0.0347
2023-02-08 09:07:16 465.15 4.18 -5.01 51.36 101.27 0.0850 0.0347
2023-02-08 09:07:17 464.79 4.17 -5.03 51.37 101.27 0.0849 0.0347
2023-02-08 09:07:18 465.32 4.18 -5.02 51.37 101.25 0.0850 0.0347
2023-02-08 09:07:19 465.08 4.18 -5.01 51.33 101.25 0.0850 0.0347
2023-02-08 09:07:20 464.95 4.17 -5.03 51.36 101.26 0.0849 0.0347
2023-02-08 09:07:21 465.22 4.17 -5.03 51.36 101.27 0.0850 0.0347
2023-02-08 09:07:22 465.04 4.18 -5.02 51.36 101.26 0.0849 0.0347
