"2022-06-08 at 13:18"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2022-06-08 13:18:54 451.04 10.50 7.70 51.38 100.48 0.0775 0.0695
2022-06-08 13:18:55 450.28 10.43 7.60 51.38 100.47 0.0774 0.0692
2022-06-08 13:18:56 450.06 10.40 7.56 51.38 100.48 0.0774 0.0691
2022-06-08 13:18:57 449.86 10.35 7.49 51.36 100.46 0.0773 0.0688
2022-06-08 13:18:58 449.23 10.31 7.43 51.34 100.44 0.0773 0.0686
2022-06-08 13:18:59 448.65 10.27 7.38 51.36 100.46 0.0771 0.0685
2022-06-08 13:19:00 449.46 10.24 7.33 51.36 100.47 0.0773 0.0683
2022-06-08 13:19:01 447.84 10.20 7.27 51.38 100.46 0.0770 0.0681
2022-06-08 13:19:02 447.74 10.18 7.25 51.38 100.48 0.0771 0.0681
2022-06-08 13:19:03 448.48 10.15 7.20 51.38 100.47 0.0772 0.0678
2022-06-08 13:19:04 447.97 10.13 7.17 51.37 100.47 0.0770 0.0678
2022-06-08 13:19:05 447.64 10.10 7.12 51.36 100.44 0.0771 0.0676
2022-06-08 13:19:06 447.80 10.07 7.09 51.33 100.47 0.0770 0.0675
2022-06-08 13:19:07 448.07 10.05 7.06 51.37 100.47 0.0771 0.0674
2022-06-08 13:19:08 448.59 10.03 7.02 51.37 100.47 0.0771 0.0672
2022-06-08 13:19:09 447.88 9.99 6.98 51.38 100.48 0.0771 0.0672
2022-06-08 13:19:10 449.05 9.98 6.96 51.38 100.47 0.0772 0.0670
2022-06-08 13:19:11 449.57 9.96 6.92 51.38 100.44 0.0773 0.0669
2022-06-08 13:19:12 449.79 9.94 6.89 51.36 100.46 0.0773 0.0668
2022-06-08 13:19:13 449.85 9.91 6.85 51.34 100.46 0.0773 0.0667
2022-06-08 13:19:14 449.77 9.90 6.84 51.38 100.46 0.0773 0.0666
2022-06-08 13:19:15 449.98 9.87 6.79 51.36 100.46 0.0774 0.0665
2022-06-08 13:19:16 450.39 9.87 6.79 51.36 100.46 0.0774 0.0665
2022-06-08 13:19:17 450.19 9.84 6.75 51.38 100.48 0.0774 0.0664
2022-06-08 13:19:18 450.49 9.82 6.72 51.38 100.46 0.0774 0.0663
2022-06-08 13:19:19 450.80 9.80 6.69 51.34 100.45 0.0774 0.0662
2022-06-08 13:19:20 449.66 9.78 6.66 51.33 100.46 0.0773 0.0661
2022-06-08 13:19:21 449.97 9.77 6.65 51.33 100.47 0.0774 0.0661
2022-06-08 13:19:22 450.36 9.77 6.64 51.36 100.46 0.0773 0.0660
2022-06-08 13:19:23 448.67 9.75 6.62 51.37 100.46 0.0771 0.0659
2022-06-08 13:19:24 448.63 9.72 6.57 51.38 100.47 0.0772 0.0658
2022-06-08 13:19:25 448.18 9.72 6.57 51.38 100.47 0.0770 0.0658
2022-06-08 13:19:26 447.60 9.70 6.54 51.34 100.46 0.0770 0.0657
2022-06-08 13:19:27 447.85 9.70 6.53 51.33 100.44 0.0770 0.0657
2022-06-08 13:19:28 446.14 9.69 6.53 51.33 100.46 0.0768 0.0656
2022-06-08 13:19:29 446.39 9.67 6.50 51.34 100.46 0.0768 0.0655
2022-06-08 13:19:31 445.31 9.65 6.47 51.36 100.47 0.0767 0.0654
2022-06-08 13:19:32 444.90 9.65 6.46 51.38 100.46 0.0766 0.0654
2022-06-08 13:19:33 444.24 9.64 6.46 51.38 100.46 0.0765 0.0654
2022-06-08 13:19:34 445.04 9.64 6.44 51.36 100.44 0.0766 0.0654
2022-06-08 13:19:35 445.04 9.64 6.44 51.36 100.44 0.0766 0.0654
2022-06-08 13:19:36 443.19 9.63 6.43 51.33 100.46 0.0764 0.0653
2022-06-08 13:19:37 442.39 9.61 6.41 51.34 100.48 0.0763 0.0652
