"2022-06-08 at 15:21"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2022-06-08 15:21:21 560.43 15.67 13.67 39.15 100.19 0.0943 0.0940
2022-06-08 15:21:22 557.19 15.68 13.67 39.20 100.19 0.0937 0.0945
2022-06-08 15:21:23 555.30 15.82 13.81 39.27 100.19 0.0935 0.0954
2022-06-08 15:21:24 552.03 15.71 13.71 39.34 100.20 0.0933 0.0942
2022-06-08 15:21:25 551.26 15.73 13.73 39.38 100.19 0.0930 0.0945
2022-06-08 15:21:26 550.40 15.57 13.56 39.43 100.19 0.0932 0.0947
2022-06-08 15:21:27 549.08 15.74 13.73 39.48 100.19 0.0924 0.0940
2022-06-08 15:21:28 544.54 15.49 13.49 39.54 100.20 0.0921 0.0935
2022-06-08 15:21:29 547.74 15.59 13.59 39.61 100.20 0.0926 0.0941
2022-06-08 15:21:30 544.25 15.36 13.36 39.67 100.19 0.0921 0.0930
2022-06-08 15:21:31 544.07 15.29 13.29 39.75 100.21 0.0921 0.0926
2022-06-08 15:21:32 544.21 15.20 13.20 39.79 100.20 0.0921 0.0923
2022-06-08 15:21:33 542.60 15.17 13.17 39.84 100.20 0.0918 0.0921
2022-06-08 15:21:34 542.51 14.99 12.98 39.89 100.19 0.0917 0.0912
2022-06-08 15:21:35 540.53 14.75 12.74 39.95 100.19 0.0916 0.0904
2022-06-08 15:21:36 539.95 14.68 12.67 40.01 100.19 0.0913 0.0899
2022-06-08 15:21:37 538.69 14.40 12.38 40.07 100.22 0.0913 0.0887
2022-06-08 15:21:38 538.39 14.17 12.13 40.14 100.20 0.0912 0.0878
2022-06-08 15:21:39 538.39 14.17 12.13 40.14 100.20 0.0912 0.0878
2022-06-08 15:21:40 537.35 13.98 11.93 40.20 100.21 0.0911 0.0868
2022-06-08 15:21:41 536.98 13.73 11.65 40.25 100.19 0.0910 0.0857
2022-06-08 15:21:42 536.53 13.53 11.43 40.30 100.20 0.0909 0.0850
2022-06-08 15:21:43 536.08 13.32 11.19 40.35 100.19 0.0908 0.0839
2022-06-08 15:21:44 536.16 13.08 10.92 40.41 100.22 0.0909 0.0829
2022-06-08 15:21:45 534.86 12.90 10.72 40.48 100.21 0.0906 0.0821
2022-06-08 15:21:46 534.98 12.70 10.48 40.53 100.21 0.0907 0.0812
2022-06-08 15:21:47 534.69 12.49 10.23 40.59 100.21 0.0906 0.0802
2022-06-08 15:21:48 534.27 12.31 10.01 40.65 100.20 0.0905 0.0794
2022-06-08 15:21:49 533.62 12.16 9.83 40.69 100.19 0.0905 0.0787
2022-06-08 15:21:50 533.29 12.04 9.69 40.76 100.22 0.0904 0.0783
2022-06-08 15:21:51 532.63 11.93 9.55 40.80 100.21 0.0902 0.0778
2022-06-08 15:21:52 532.20 11.81 9.40 40.87 100.21 0.0902 0.0771
2022-06-08 15:21:53 532.74 11.74 9.31 40.93 100.21 0.0903 0.0768
2022-06-08 15:21:54 533.20 11.70 9.25 41.00 100.23 0.0903 0.0767
2022-06-08 15:21:55 533.32 11.58 9.11 41.04 100.21 0.0905 0.0761
2022-06-08 15:21:56 534.80 11.54 9.05 41.08 100.20 0.0905 0.0759
