"2024-11-21 at 09:25"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2024-11-21 09:25:14 872.33 9.57 6.46 33.88 101.24 0.1391 0.0682
2024-11-21 09:25:15 870.36 9.57 6.45 33.94 101.23 0.1389 0.0682
2024-11-21 09:25:16 869.39 9.57 6.45 34.00 101.24 0.1388 0.0682
2024-11-21 09:25:17 868.27 9.55 6.43 34.06 101.22 0.1386 0.0681
2024-11-21 09:25:18 868.70 9.55 6.42 34.13 101.24 0.1387 0.0681
2024-11-21 09:25:19 867.40 9.55 6.42 34.20 101.22 0.1385 0.0680
2024-11-21 09:25:20 867.17 9.54 6.41 34.23 101.20 0.1384 0.0680
2024-11-21 09:25:21 866.63 9.55 6.42 34.29 101.22 0.1383 0.0680
2024-11-21 09:25:22 865.94 9.52 6.38 34.33 101.24 0.1383 0.0679
2024-11-21 09:25:23 866.60 9.52 6.37 34.39 101.23 0.1383 0.0678
2024-11-21 09:25:24 865.36 9.51 6.37 34.45 101.27 0.1382 0.0678
2024-11-21 09:25:25 866.85 9.50 6.36 34.52 101.24 0.1383 0.0678
2024-11-21 09:25:26 865.97 9.51 6.37 34.58 101.23 0.1382 0.0678
2024-11-21 09:25:27 865.02 9.49 6.33 34.64 101.26 0.1381 0.0677
2024-11-21 09:25:28 864.32 9.51 6.36 34.68 101.22 0.1380 0.0677
2024-11-21 09:25:29 862.82 9.48 6.33 34.73 101.24 0.1378 0.0676
2024-11-21 09:25:30 863.06 9.49 6.34 34.78 101.24 0.1378 0.0677
2024-11-21 09:25:31 862.38 9.47 6.31 34.84 101.27 0.1377 0.0676
2024-11-21 09:25:32 861.47 9.46 6.30 34.90 101.26 0.1376 0.0675
2024-11-21 09:25:33 862.60 9.48 6.32 34.96 101.24 0.1377 0.0676
2024-11-21 09:25:34 862.61 9.47 6.30 35.02 101.23 0.1377 0.0675
2024-11-21 09:25:35 860.56 9.45 6.28 35.06 101.23 0.1374 0.0674
2024-11-21 09:25:36 859.12 9.46 6.29 35.12 101.26 0.1373 0.0675
2024-11-21 09:25:37 859.45 9.44 6.26 35.16 101.24 0.1373 0.0674
2024-11-21 09:25:38 857.96 9.46 6.30 35.23 101.26 0.1371 0.0675
2024-11-21 09:25:39 857.92 9.43 6.25 35.29 101.26 0.1371 0.0673
2024-11-21 09:25:40 857.70 9.45 6.27 35.35 101.26 0.1370 0.0673
2024-11-21 09:25:41 859.06 9.44 6.26 35.38 101.26 0.1372 0.0673
2024-11-21 09:25:42 866.70 9.42 6.24 35.42 101.26 0.1380 0.0672
2024-11-21 09:25:43 875.32 9.43 6.24 35.48 101.26 0.1390 0.0672
2024-11-21 09:25:44 882.77 9.41 6.21 35.51 101.26 0.1398 0.0671
2024-11-21 09:25:45 889.27 9.42 6.23 35.59 101.23 0.1405 0.0672
2024-11-21 09:25:46 897.12 9.40 6.20 35.64 101.28 0.1414 0.0671
2024-11-21 09:25:47 900.64 9.41 6.21 35.72 101.26 0.1417 0.0671
2024-11-21 09:25:48 898.97 9.40 6.20 35.76 101.26 0.1415 0.0670
2024-11-21 09:25:49 893.66 9.40 6.20 35.81 101.23 0.1409 0.0671
2024-11-21 09:25:50 888.25 9.39 6.19 35.87 101.23 0.1403 0.0670
2024-11-21 09:25:51 884.29 9.38 6.17 35.91 101.26 0.1399 0.0669
2024-11-21 09:25:52 880.77 9.39 6.18 35.95 101.26 0.1394 0.0669
2024-11-21 09:25:53 877.94 9.38 6.17 36.02 101.23 0.1391 0.0669
2024-11-21 09:25:54 876.51 9.40 6.19 36.08 101.26 0.1389 0.0670
2024-11-21 09:25:55 874.94 9.37 6.15 36.15 101.27 0.1388 0.0668
2024-11-21 09:25:56 875.49 9.37 6.16 36.19 101.27 0.1388 0.0669
2024-11-21 09:25:57 876.55 9.36 6.14 36.24 101.27 0.1389 0.0668
2024-11-21 09:25:58 884.49 9.36 6.13 36.27 101.26 0.1398 0.0667
2024-11-21 09:25:59 895.65 9.35 6.12 36.34 101.27 0.1410 0.0667
2024-11-21 09:26:00 905.36 9.37 6.15 36.39 101.28 0.1421 0.0668
2024-11-21 09:26:01 911.89 9.35 6.12 36.45 101.26 0.1427 0.0667
2024-11-21 09:26:02 916.56 9.36 6.13 36.52 101.25 0.1432 0.0667
2024-11-21 09:26:03 916.45 9.33 6.09 36.58 101.29 0.1433 0.0666
2024-11-21 09:26:04 913.52 9.33 6.10 36.63 101.25 0.1429 0.0666
2024-11-21 09:26:05 911.52 9.34 6.10 36.68 101.27 0.1427 0.0666
2024-11-21 09:26:06 911.49 9.33 6.09 36.71 101.27 0.1426 0.0665
2024-11-21 09:26:07 912.09 9.33 6.09 36.78 101.23 0.1426 0.0665
2024-11-21 09:26:08 910.08 9.33 6.09 36.84 101.28 0.1425 0.0665
2024-11-21 09:26:09 912.75 9.31 6.06 36.89 101.27 0.1427 0.0664
2024-11-21 09:26:10 917.31 9.32 6.07 36.93 101.27 0.1432 0.0664
2024-11-21 09:26:11 931.03 9.32 6.07 36.98 101.27 0.1447 0.0664
2024-11-21 09:26:12 938.54 9.32 6.07 37.02 101.25 0.1455 0.0664
2024-11-21 09:26:13 943.54 9.30 6.04 37.06 101.25 0.1460 0.0663
2024-11-21 09:26:14 942.10 9.29 6.03 37.12 101.25 0.1458 0.0663
2024-11-21 09:26:15 935.43 9.29 6.02 37.17 101.26 0.1451 0.0662
2024-11-21 09:26:16 921.03 9.29 6.03 37.22 101.29 0.1436 0.0663
2024-11-21 09:26:17 906.64 9.28 6.02 37.29 101.25 0.1419 0.0662
2024-11-21 09:26:18 895.60 9.28 6.02 37.36 101.26 0.1407 0.0662
2024-11-21 09:26:19 886.49 9.28 6.01 37.39 101.27 0.1396 0.0662
2024-11-21 09:26:20 880.42 9.28 6.01 37.42 101.27 0.1390 0.0662
2024-11-21 09:26:21 875.62 9.28 6.01 37.49 101.25 0.1384 0.0662
2024-11-21 09:26:22 872.23 9.27 6.00 37.54 101.29 0.1380 0.0661
2024-11-21 09:26:23 868.38 9.27 6.00 37.59 101.29 0.1376 0.0661
2024-11-21 09:26:24 865.80 9.26 5.98 37.66 101.27 0.1372 0.0660
2024-11-21 09:26:25 864.31 9.25 5.96 37.72 101.28 0.1371 0.0660
2024-11-21 09:26:26 862.66 9.23 5.94 37.78 101.28 0.1369 0.0659
2024-11-21 09:26:27 861.03 9.27 6.00 37.81 101.28 0.1367 0.0661
2024-11-21 09:26:28 858.77 9.25 5.97 37.86 101.26 0.1364 0.0659
2024-11-21 09:26:29 857.47 9.23 5.93 37.91 101.27 0.1362 0.0658
2024-11-21 09:26:30 855.16 9.25 5.97 37.94 101.28 0.1360 0.0660
2024-11-21 09:26:31 853.65 9.24 5.95 38.01 101.28 0.1358 0.0659
2024-11-21 09:26:32 853.10 9.23 5.93 38.08 101.28 0.1357 0.0658
2024-11-21 09:26:33 853.97 9.23 5.94 38.15 101.26 0.1357 0.0658
2024-11-21 09:26:34 856.27 9.22 5.91 38.18 101.26 0.1360 0.0657
2024-11-21 09:26:35 855.09 9.22 5.92 38.22 101.28 0.1359 0.0657
2024-11-21 09:26:36 857.63 9.23 5.93 38.27 101.26 0.1361 0.0658
2024-11-21 09:26:37 857.85 9.21 5.91 38.32 101.28 0.1362 0.0657
2024-11-21 09:26:38 857.07 9.23 5.94 38.37 101.28 0.1361 0.0658
2024-11-21 09:26:39 856.33 9.20 5.90 38.44 101.28 0.1360 0.0656
2024-11-21 09:26:40 854.82 9.21 5.91 38.51 101.28 0.1358 0.0657
2024-11-21 09:26:41 855.49 9.21 5.90 38.54 101.28 0.1358 0.0656
2024-11-21 09:26:42 855.36 9.19 5.88 38.58 101.28 0.1358 0.0656
2024-11-21 09:26:43 856.17 9.19 5.88 38.63 101.26 0.1358 0.0655
2024-11-21 09:26:44 858.77 9.19 5.87 38.68 101.31 0.1362 0.0655
2024-11-21 09:26:45 858.20 9.19 5.88 38.73 101.31 0.1361 0.0655
2024-11-21 09:26:46 858.61 9.19 5.88 38.80 101.28 0.1361 0.0655
2024-11-21 09:26:47 858.74 9.19 5.87 38.86 101.28 0.1361 0.0655
2024-11-21 09:26:48 858.63 9.20 5.89 38.89 101.30 0.1361 0.0655
2024-11-21 09:26:50 856.41 9.18 5.87 38.94 101.28 0.1358 0.0654
2024-11-21 09:26:51 857.42 9.19 5.87 39.00 101.26 0.1359 0.0655
2024-11-21 09:26:52 856.81 9.19 5.87 39.01 101.28 0.1358 0.0655
2024-11-21 09:26:53 859.04 9.18 5.86 39.07 101.31 0.1361 0.0654
2024-11-21 09:26:54 862.41 9.17 5.84 39.12 101.30 0.1364 0.0654
2024-11-21 09:26:55 863.82 9.17 5.85 39.19 101.32 0.1366 0.0654
2024-11-21 09:26:56 867.07 9.17 5.85 39.24 101.30 0.1369 0.0653
2024-11-21 09:26:57 869.91 9.16 5.83 39.28 101.30 0.1372 0.0653
2024-11-21 09:26:58 872.94 9.16 5.83 39.33 101.28 0.1375 0.0653
2024-11-21 09:26:59 875.84 9.15 5.82 39.37 101.30 0.1379 0.0652
2024-11-21 09:27:00 879.89 9.16 5.83 39.44 101.28 0.1383 0.0652
2024-11-21 09:27:01 880.62 9.15 5.82 39.47 101.32 0.1384 0.0652
2024-11-21 09:27:02 884.18 9.15 5.82 39.54 101.32 0.1388 0.0652
2024-11-21 09:27:03 884.20 9.14 5.81 39.62 101.32 0.1388 0.0652
2024-11-21 09:27:04 884.53 9.16 5.82 39.65 101.28 0.1387 0.0652
2024-11-21 09:27:05 884.46 9.14 5.79 39.69 101.28 0.1387 0.0651
2024-11-21 09:27:06 882.76 9.14 5.80 39.72 101.30 0.1385 0.0651
2024-11-21 09:27:07 883.02 9.14 5.80 39.78 101.30 0.1385 0.0651
2024-11-21 09:27:08 883.77 9.14 5.81 39.83 101.30 0.1386 0.0651
2024-11-21 09:27:09 882.69 9.12 5.77 39.88 101.32 0.1385 0.0650
2024-11-21 09:27:10 882.56 9.13 5.78 39.94 101.30 0.1384 0.0650
2024-11-21 09:27:11 882.12 9.12 5.77 40.01 101.30 0.1384 0.0650
2024-11-21 09:27:12 881.45 9.12 5.76 40.05 101.30 0.1383 0.0649
2024-11-21 09:27:13 881.17 9.11 5.76 40.08 101.30 0.1382 0.0649
2024-11-21 09:27:14 878.75 9.13 5.78 40.14 101.30 0.1380 0.0650
2024-11-21 09:27:15 876.79 9.13 5.79 40.19 101.30 0.1377 0.0650
2024-11-21 09:27:16 875.76 9.11 5.75 40.25 101.32 0.1376 0.0649
2024-11-21 09:27:17 873.92 9.13 5.79 40.32 101.31 0.1374 0.0650
2024-11-21 09:27:18 872.62 9.13 5.78 40.36 101.32 0.1372 0.0650
2024-11-21 09:27:19 871.63 9.09 5.72 40.39 101.29 0.1371 0.0647
2024-11-21 09:27:20 871.56 9.10 5.73 40.43 101.28 0.1370 0.0648
2024-11-21 09:27:21 871.91 9.11 5.75 40.48 101.30 0.1371 0.0648
2024-11-21 09:27:22 870.93 9.11 5.75 40.54 101.30 0.1370 0.0648
2024-11-21 09:27:23 871.90 9.08 5.71 40.59 101.32 0.1371 0.0647
2024-11-21 09:27:24 871.99 9.09 5.73 40.63 101.31 0.1371 0.0647
2024-11-21 09:27:25 871.86 9.11 5.75 40.69 101.28 0.1370 0.0648
2024-11-21 09:27:26 872.23 9.08 5.70 40.76 101.31 0.1371 0.0646
2024-11-21 09:27:27 870.81 9.09 5.73 40.80 101.31 0.1369 0.0647
2024-11-21 09:27:28 869.32 9.08 5.70 40.84 101.31 0.1367 0.0646
2024-11-21 09:27:29 869.96 9.09 5.72 40.87 101.30 0.1367 0.0647
2024-11-21 09:27:30 868.29 9.09 5.72 40.95 101.32 0.1366 0.0647
2024-11-21 09:27:31 866.39 9.06 5.67 40.98 101.31 0.1363 0.0645
2024-11-21 09:27:32 865.13 9.10 5.74 41.04 101.31 0.1362 0.0647
2024-11-21 09:27:33 863.51 9.09 5.72 41.10 101.31 0.1360 0.0647
2024-11-21 09:27:34 862.90 9.05 5.66 41.13 101.31 0.1359 0.0644
2024-11-21 09:27:35 861.66 9.07 5.68 41.17 101.29 0.1357 0.0645
2024-11-21 09:27:36 860.11 9.07 5.68 41.23 101.32 0.1356 0.0645
2024-11-21 09:27:37 861.08 9.07 5.69 41.28 101.31 0.1356 0.0645
2024-11-21 09:27:38 858.92 9.06 5.68 41.32 101.31 0.1354 0.0645
2024-11-21 09:27:39 857.35 9.06 5.67 41.40 101.31 0.1352 0.0644
2024-11-21 09:27:40 856.29 9.06 5.67 41.44 101.32 0.1351 0.0644
2024-11-21 09:27:41 854.04 9.06 5.67 41.49 101.29 0.1348 0.0644
2024-11-21 09:27:42 854.49 9.06 5.67 41.51 101.29 0.1348 0.0644
2024-11-21 09:27:44 852.20 9.05 5.65 41.57 101.31 0.1346 0.0644
2024-11-21 09:27:45 851.17 9.05 5.66 41.63 101.31 0.1344 0.0644
2024-11-21 09:27:46 849.61 9.04 5.63 41.68 101.31 0.1342 0.0643
2024-11-21 09:27:47 848.52 9.04 5.64 41.72 101.31 0.1341 0.0643
2024-11-21 09:27:48 849.85 9.04 5.64 41.78 101.31 0.1342 0.0643
2024-11-21 09:27:49 847.15 9.05 5.66 41.84 101.31 0.1339 0.0643
2024-11-21 09:27:50 845.20 9.03 5.62 41.85 101.32 0.1337 0.0642
2024-11-21 09:27:51 845.90 9.03 5.62 41.91 101.29 0.1337 0.0642
2024-11-21 09:27:52 844.75 9.04 5.64 41.95 101.31 0.1336 0.0643
2024-11-21 09:27:53 843.85 9.02 5.62 41.99 101.35 0.1335 0.0642
2024-11-21 09:27:54 843.38 9.03 5.62 42.07 101.32 0.1334 0.0642
2024-11-21 09:27:55 841.75 9.03 5.62 42.12 101.32 0.1332 0.0642
2024-11-21 09:27:56 840.27 9.03 5.63 42.16 101.32 0.1331 0.0642
2024-11-21 09:27:57 841.38 9.02 5.62 42.18 101.32 0.1332 0.0642
2024-11-21 09:27:58 840.31 9.01 5.60 42.22 101.29 0.1330 0.0641
2024-11-21 09:27:59 841.78 9.00 5.58 42.30 101.35 0.1332 0.0640
2024-11-21 09:28:00 842.62 9.03 5.63 42.34 101.32 0.1333 0.0642
2024-11-21 09:28:01 843.00 9.01 5.60 42.40 101.35 0.1333 0.0641
2024-11-21 09:28:02 843.27 9.02 5.62 42.46 101.35 0.1333 0.0641
2024-11-21 09:28:03 843.90 9.02 5.60 42.49 101.30 0.1333 0.0641
2024-11-21 09:28:04 843.45 9.01 5.59 42.53 101.32 0.1333 0.0640
2024-11-21 09:28:05 842.99 9.01 5.59 42.57 101.30 0.1332 0.0640
2024-11-21 09:28:06 842.59 9.00 5.59 42.61 101.32 0.1332 0.0640
2024-11-21 09:28:07 842.96 9.01 5.59 42.65 101.32 0.1332 0.0640
2024-11-21 09:28:08 842.75 9.00 5.58 42.71 101.32 0.1332 0.0640
2024-11-21 09:28:09 842.79 9.00 5.59 42.75 101.35 0.1332 0.0640
2024-11-21 09:28:10 841.53 8.99 5.56 42.81 101.35 0.1330 0.0639
2024-11-21 09:28:11 841.01 9.00 5.58 42.85 101.32 0.1329 0.0639
2024-11-21 09:28:12 841.26 8.99 5.55 42.89 101.30 0.1329 0.0638
2024-11-21 09:28:13 842.71 8.98 5.55 42.93 101.32 0.1331 0.0638
2024-11-21 09:28:14 842.50 8.98 5.54 42.99 101.32 0.1331 0.0638
2024-11-21 09:28:15 843.53 8.97 5.54 43.03 101.32 0.1332 0.0638
2024-11-21 09:28:16 842.97 9.03 5.63 43.09 101.35 0.1331 0.0641
